,0
0,1
1,1
2,0
3,0
4,0
5,1
6,1
7,0
8,1
9,1
10,0
11,1
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,1
20,1
21,1
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,1
36,1
37,0
38,0
39,1
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,1
79,0
80,1
81,0
82,0
83,1
84,1
85,0
86,0
87,0
88,1
89,1
90,1
91,0
92,1
93,0
94,0
95,1
96,0
97,0
98,0
99,1
100,1
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,0
113,0
114,1
115,0
116,0
117,0
118,0
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,1
146,1
147,1
148,0
149,0
150,0
151,1
152,1
153,1
154,0
155,0
156,0
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,0
168,0
169,0
170,0
171,1
172,1
173,0
174,1
175,0
176,0
177,1
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,0
186,1
187,0
188,1
189,1
190,0
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,0
201,1
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,1
214,0
215,1
216,1
217,0
218,0
219,0
220,1
221,0
222,1
223,1
224,0
225,0
226,0
227,1
228,0
229,0
230,1
231,0
232,1
233,1
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,0
251,1
252,0
253,1
254,1
255,1
256,1
257,1
258,0
259,0
260,1
261,1
262,0
263,0
264,1
265,0
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,0
